"Date","Symbol","Marketcapname","Sector"
"03-02-2026","GNA","Smallcap","Auto"
"03-02-2026","MEDPLUS","Midcap","Consumer Discretionary"
"04-02-2026","INDSWFTLAB","Smallcap","Healthcare"
"04-02-2026","PTC","Smallcap","Power & Utilities"
"09-02-2026","KIRLPNU","Smallcap","Industrials"
"10-02-2026","MAHLOG","Smallcap","Transportation"
"11-02-2026","ASTRAL","Largecap","Plastic products"
"18-02-2026","SCHNEIDER","Largecap","Industrials"
"18-02-2026","E2E","Midcap","I.T"
"19-02-2026","NITINSPIN","Smallcap","Textiles"
"20-02-2026","VESUVIUS","Midcap","Building Materials"
"20-02-2026","ABINFRA","Smallcap","Realty"
"23-02-2026","TFCILTD","Midcap","Financials"
"24-02-2026","BANDHANBNK","Largecap","Bank"
"26-02-2026","FINCABLES","Largecap","Industrials"
"26-02-2026","VIYASH","Midcap","Healthcare"
"26-02-2026","JYOTISTRUC","Smallcap","Industrials"
"26-02-2026","VARDMNPOLY","Smallcap","Textiles"
"26-02-2026","FUSION","Smallcap","Financials"
"27-02-2026","CHENNPETRO","Largecap","Energy"
"27-02-2026","SUNTV","Largecap","Media"
"05-03-2026","SAILIFE","Largecap","Healthcare"
"09-03-2026","APOLLOPIPE","Smallcap","Plastic products"
"10-03-2026","JPOLYINVST","Smallcap","Financials"
"10-03-2026","NEOGEN","Midcap","Chemicals"
"12-03-2026","VIDYAWIRES","Smallcap","Industrials"
"16-03-2026","AEROFLEX","Midcap","Metals & Mining"
"17-03-2026","CHENNPETRO","Largecap","Energy"
"18-03-2026","KSB","Midcap","Industrials"
"18-03-2026","JAINREC","Midcap","Metals & Mining"
"18-03-2026","EMMVEE","Largecap","Industrials"
"23-03-2026","ACI","Midcap","Chemicals"
"25-03-2026","MAHSEAMLES","Midcap","Metals & Mining"
"25-03-2026","TRIVENI","Midcap","FMCG"
"27-03-2026","SPLPETRO","Midcap","Energy"
"27-03-2026","DWARKESH","Smallcap","FMCG"
"27-03-2026","ACMESOLAR","Largecap","Realty"
"30-03-2026","ASTERDM","Largecap","Healthcare"
"01-04-2026","AUROPHARMA","Largecap","Healthcare"
"06-04-2026","ZYDUSWELL","Midcap","FMCG"
"06-04-2026","ADANIPOWER","Largecap","Power & Utilities"
"07-04-2026","BODALCHEM","Smallcap","Chemicals"
"08-04-2026","SUYOG","Smallcap","Telecom"
"09-04-2026","ELECTCAST","Smallcap","Industrials"
"09-04-2026","ZENTEC","Midcap","Aerospace & Defence"
"10-04-2026","HIRECT","Smallcap","Consumer Discretionary"
"10-04-2026","ACI","Midcap","Chemicals"
"10-04-2026","ATLANTAELE","Midcap","Industrials"
"13-04-2026","ACMESOLAR","Largecap","Realty"
"15-04-2026","JINDALSAW","Midcap","Industrials"
"15-04-2026","WSTCSTPAPR","Smallcap","Building Materials"
"15-04-2026","JSWENERGY","Largecap","Power & Utilities"
"15-04-2026","IGIL","Midcap","Miscellaneous"
"16-04-2026","HEG","Midcap","Industrials"
"16-04-2026","SGFIN","Smallcap","Financials"
"17-04-2026","IOLCP","Midcap","Healthcare"
"17-04-2026","PREMIERENE","Largecap","Services"
"20-04-2026","GUJALKALI","Smallcap","Chemicals"
"20-04-2026","SUVEN","Smallcap","Healthcare"
"21-04-2026","JAGSNPHARM","Smallcap","Healthcare"
"21-04-2026","PRAJIND","Midcap","Industrials"
"21-04-2026","ANTHEM","Largecap","Healthcare"
"22-04-2026","RISHABH","Smallcap","Industrials"
"22-04-2026","URBANCO","Largecap","I.T"
"23-04-2026","BAJAJHIND","Smallcap","FMCG"
"23-04-2026","DHAMPURSUG","Smallcap","FMCG"
"23-04-2026","NOCIL","Smallcap","Chemicals"
"23-04-2026","WELCORP","Largecap","Industrials"
"23-04-2026","STAR","Midcap","Healthcare"
"23-04-2026","RENUKA","Smallcap","FMCG"
"23-04-2026","MAGADSUGAR","Smallcap","FMCG"
"23-04-2026","MARINE","Midcap","Industrials"
"24-04-2026","SBCL","Midcap","Metals & Mining"
"27-04-2026","TATAPOWER","Largecap","Power & Utilities"
"27-04-2026","TALBROAUTO","Smallcap","Auto"
"27-04-2026","KIRLPNU","Smallcap","Industrials"
"27-04-2026","BHAGYANGR","Smallcap","Power & Utilities"
"27-04-2026","PITTIENG","Smallcap","Industrials"
"27-04-2026","USHAMART","Midcap","Metals & Mining"
"27-04-2026","ASAL","Smallcap","Auto"
"27-04-2026","ENGINERSIN","Midcap","Realty"
"27-04-2026","TARIL","Midcap","Industrials"
"27-04-2026","ADVENZYMES","Smallcap","Healthcare"
"27-04-2026","VIJAYA","Midcap","Healthcare"
"27-04-2026","NTPCGREEN","Largecap","Power & Utilities"
"27-04-2026","GKSL","Smallcap","Healthcare"
"28-04-2026","URJA","Smallcap","Auto"
"28-04-2026","DHANBANK","Smallcap","Bank"
"28-04-2026","PTC","Smallcap","Power & Utilities"
"28-04-2026","AVL","Midcap","Consumer Discretionary"
"28-04-2026","KIOCL","Largecap","Metals & Mining"
"28-04-2026","ATGL","Largecap","Energy"
"28-04-2026","EMIL","Midcap","Consumer Discretionary"
"29-04-2026","INDIAGLYCO","Smallcap","FMCG"
"29-04-2026","POLYPLEX","Smallcap","Industrials"
"29-04-2026","INDOBORAX","Smallcap","Chemicals"
"29-04-2026","GREENPLY","Smallcap","Building Materials"
"29-04-2026","SGFIN","Smallcap","Financials"
"29-04-2026","UNIPARTS","Smallcap","Industrials"
"29-04-2026","BAJEL","Smallcap","Realty"
"29-04-2026","ARIS","Smallcap","Services"
"29-04-2026","EMMVEE","Largecap","Industrials"
"30-04-2026","BAJAJHIND","Smallcap","FMCG"
"30-04-2026","CEMPRO","Largecap","Realty"
